company,industry,period,fiscal_year,revenue,gross_profit,ebit,net_income,cash,accounts_receivable,inventory,accounts_payable,current_assets,current_liabilities,total_assets,total_debt,total_equity,operating_cash_flow,capital_expenditure,interest_expense,eps,ebitda,operating_expenses
MICROSOFT CORP,SEC filer (MSFT),FY2021,2021,168088000000.0,115856000000.0,69916000000.0,61271000000.0,14224000000.0,38043000000.0,2636000000.0,15163000000.0,184406000000.0,88657000000.0,333779000000.0,8072000000.0,141988000000.0,76740000000.0,20622000000.0,2346000000.0,8.05,69916000000.0,
MICROSOFT CORP,SEC filer (MSFT),FY2022,2022,198270000000.0,135620000000.0,83383000000.0,72738000000.0,13931000000.0,44261000000.0,3742000000.0,19000000000.0,169684000000.0,95082000000.0,364840000000.0,2749000000.0,166542000000.0,89035000000.0,23886000000.0,2063000000.0,9.65,83383000000.0,
MICROSOFT CORP,SEC filer (MSFT),FY2023,2023,211915000000.0,146052000000.0,88523000000.0,72361000000.0,34704000000.0,48688000000.0,2500000000.0,18095000000.0,184257000000.0,104149000000.0,411976000000.0,5247000000.0,206223000000.0,87582000000.0,28107000000.0,1968000000.0,9.68,88523000000.0,
MICROSOFT CORP,SEC filer (MSFT),FY2024,2024,245122000000.0,171008000000.0,109433000000.0,88136000000.0,18315000000.0,56924000000.0,1246000000.0,21996000000.0,159734000000.0,125286000000.0,512163000000.0,2249000000.0,268477000000.0,118548000000.0,44477000000.0,2935000000.0,11.8,109433000000.0,
MICROSOFT CORP,SEC filer (MSFT),FY2025,2025,281724000000.0,193893000000.0,128528000000.0,101832000000.0,30242000000.0,69905000000.0,938000000.0,27724000000.0,191131000000.0,141218000000.0,619003000000.0,2999000000.0,343479000000.0,136162000000.0,64551000000.0,,13.64,128528000000.0,65365000000.0
MICROSOFT CORP,SEC filer (MSFT),FY2026,2026,331839000000.0,225465000000.0,155237000000.0,133749000000.0,,,,,,,,,,182935000000.0,115948000000.0,,17.95,155237000000.0,70228000000.0
