company,industry,period,fiscal_year,cogs,gross_profit,operating_expenses,ebit,net_income,cash,accounts_receivable,inventory,accounts_payable,current_assets,current_liabilities,total_assets,total_debt,total_equity,operating_cash_flow,capital_expenditure,interest_expense,eps,ebitda,revenue
"Tesla, Inc.",SEC filer (TSLA),FY2020,2020,24906000000.0,6630000000.0,4636000000.0,1994000000.0,721000000.0,19384000000.0,1886000000.0,4101000000.0,6051000000.0,26717000000.0,14248000000.0,52148000000.0,1758000000.0,22225000000.0,5943000000.0,3157000000.0,748000000.0,0.64,1994000000.0,
"Tesla, Inc.",SEC filer (TSLA),FY2021,2021,40217000000.0,13606000000.0,7083000000.0,6523000000.0,5519000000.0,17576000000.0,1913000000.0,5757000000.0,10025000000.0,27100000000.0,19705000000.0,62131000000.0,1088000000.0,30189000000.0,11497000000.0,6482000000.0,371000000.0,4.9,6523000000.0,
"Tesla, Inc.",SEC filer (TSLA),FY2022,2022,60609000000.0,20853000000.0,7197000000.0,13656000000.0,12556000000.0,16253000000.0,2952000000.0,12839000000.0,15255000000.0,40917000000.0,26709000000.0,82338000000.0,1016000000.0,44704000000.0,14724000000.0,7158000000.0,191000000.0,3.62,13656000000.0,
"Tesla, Inc.",SEC filer (TSLA),FY2023,2023,79113000000.0,17660000000.0,8769000000.0,8891000000.0,14997000000.0,16398000000.0,3508000000.0,13626000000.0,14431000000.0,49616000000.0,28748000000.0,106618000000.0,1975000000.0,62634000000.0,13256000000.0,8898000000.0,156000000.0,4.3,8891000000.0,96773000000.0
"Tesla, Inc.",SEC filer (TSLA),FY2024,2024,80240000000.0,17450000000.0,10374000000.0,7076000000.0,7091000000.0,16139000000.0,4418000000.0,12017000000.0,12474000000.0,58360000000.0,28821000000.0,122070000000.0,2343000000.0,72913000000.0,14923000000.0,11339000000.0,,2.04,7076000000.0,97690000000.0
"Tesla, Inc.",SEC filer (TSLA),FY2025,2025,77733000000.0,17094000000.0,12739000000.0,4355000000.0,3794000000.0,16513000000.0,4576000000.0,12392000000.0,13371000000.0,68642000000.0,31714000000.0,137806000000.0,1569000000.0,82137000000.0,14747000000.0,8527000000.0,,1.08,4355000000.0,94827000000.0
