company,industry,period,fiscal_year,revenue,ebit,net_income,cash,total_assets,total_debt,total_equity,operating_cash_flow,interest_expense,eps,interest_income,net_interest_income,noninterest_income,noninterest_expense,loan_loss_provision,deposits,investment_securities,ebitda,loans
BANK OF AMERICA CORP /DE/,SEC filer (BAC),FY2020,2020,85528000000.0,18995000000.0,17894000000.0,36430000000.0,2819627000000.0,866514000000.0,272924000000.0,37993000000.0,8225000000.0,1.87,51585000000.0,43360000000.0,42168000000.0,55213000000.0,10565000000.0,1795480000000.0,234491000000.0,18995000000.0,
BANK OF AMERICA CORP /DE/,SEC filer (BAC),FY2021,2021,89113000000.0,33976000000.0,31978000000.0,29222000000.0,3169495000000.0,944892000000.0,270066000000.0,-7193000000.0,4738000000.0,3.57,47672000000.0,42934000000.0,46179000000.0,59731000000.0,-4173000000.0,2064446000000.0,299178000000.0,33976000000.0,966737000000.0
BANK OF AMERICA CORP /DE/,SEC filer (BAC),FY2022,2022,94950000000.0,30969000000.0,27528000000.0,30334000000.0,3051375000000.0,943234000000.0,273197000000.0,-6327000000.0,20103000000.0,3.19,72565000000.0,52462000000.0,42488000000.0,61438000000.0,,1930341000000.0,220788000000.0,30969000000.0,1033065000000.0
BANK OF AMERICA CORP /DE/,SEC filer (BAC),FY2023,2023,98581000000.0,28342000000.0,26515000000.0,27892000000.0,3180151000000.0,1172182000000.0,291646000000.0,44982000000.0,73331000000.0,3.08,130262000000.0,56931000000.0,41650000000.0,65845000000.0,,1923827000000.0,266649000000.0,28342000000.0,1040390000000.0
BANK OF AMERICA CORP /DE/,SEC filer (BAC),FY2024,2024,101887000000.0,29254000000.0,27132000000.0,26003000000.0,3261519000000.0,1230074000000.0,295559000000.0,-8805000000.0,,3.21,146607000000.0,56060000000.0,45827000000.0,66812000000.0,,1965467000000.0,346432000000.0,29254000000.0,1082595000000.0
BANK OF AMERICA CORP /DE/,SEC filer (BAC),FY2025,2025,113097000000.0,37695000000.0,30509000000.0,28595000000.0,3411738000000.0,662532000000.0,303243000000.0,12613000000.0,,3.81,138566000000.0,60096000000.0,53001000000.0,69727000000.0,,2018729000000.0,386798000000.0,37695000000.0,1172497000000.0
