company,industry,period,fiscal_year,revenue,cogs,gross_profit,operating_expenses,ebit,net_income,cash,accounts_receivable,inventory,accounts_payable,current_assets,current_liabilities,total_assets,total_debt,total_equity,operating_cash_flow,capital_expenditure,interest_expense,eps,ebitda
Apple Inc.,SEC filer (AAPL),FY2020,2020,274515000000.0,169559000000.0,104956000000.0,38668000000.0,66288000000.0,57411000000.0,38016000000.0,16120000000.0,4061000000.0,42296000000.0,143713000000.0,105392000000.0,323888000000.0,8773000000.0,65339000000.0,80674000000.0,7309000000.0,2873000000.0,3.28,66288000000.0
Apple Inc.,SEC filer (AAPL),FY2021,2021,365817000000.0,212981000000.0,152836000000.0,43887000000.0,108949000000.0,94680000000.0,34940000000.0,26278000000.0,6580000000.0,54763000000.0,134836000000.0,125481000000.0,351002000000.0,9613000000.0,63090000000.0,104038000000.0,11085000000.0,2645000000.0,5.61,108949000000.0
Apple Inc.,SEC filer (AAPL),FY2022,2022,394328000000.0,223546000000.0,170782000000.0,51345000000.0,119437000000.0,99803000000.0,23646000000.0,28184000000.0,4946000000.0,64115000000.0,135405000000.0,153982000000.0,352755000000.0,11128000000.0,50672000000.0,122151000000.0,10708000000.0,2931000000.0,6.11,119437000000.0
Apple Inc.,SEC filer (AAPL),FY2023,2023,383285000000.0,214137000000.0,169148000000.0,54847000000.0,114301000000.0,96995000000.0,29965000000.0,29508000000.0,6331000000.0,62611000000.0,143566000000.0,145308000000.0,352583000000.0,9822000000.0,62146000000.0,110543000000.0,10959000000.0,3933000000.0,6.13,114301000000.0
Apple Inc.,SEC filer (AAPL),FY2024,2024,391035000000.0,210352000000.0,180683000000.0,57467000000.0,123216000000.0,93736000000.0,29943000000.0,33410000000.0,7286000000.0,68960000000.0,152987000000.0,176392000000.0,364980000000.0,10912000000.0,56950000000.0,118254000000.0,9447000000.0,,6.08,123216000000.0
Apple Inc.,SEC filer (AAPL),FY2025,2025,416161000000.0,220960000000.0,195201000000.0,62151000000.0,133050000000.0,112010000000.0,35934000000.0,39777000000.0,5718000000.0,69860000000.0,147957000000.0,165631000000.0,359241000000.0,12350000000.0,73733000000.0,111482000000.0,12715000000.0,,7.46,133050000000.0
