company,industry,period,fiscal_year,revenue,ebit,net_income,cash,total_assets,total_equity,operating_cash_flow,interest_expense,eps,ebitda
JPMORGAN CHASE & CO,SEC filer (JPM),FY2020,2020,119543000000.0,35407000000.0,29131000000.0,527609000000.0,3386071000000.0,279354000000.0,-79910000000.0,9960000000.0,8.88,35407000000.0
JPMORGAN CHASE & CO,SEC filer (JPM),FY2021,2021,121649000000.0,59562000000.0,48334000000.0,740834000000.0,3743567000000.0,294127000000.0,78084000000.0,5553000000.0,15.36,59562000000.0
JPMORGAN CHASE & CO,SEC filer (JPM),FY2022,2022,128695000000.0,46166000000.0,37676000000.0,567234000000.0,3665743000000.0,292332000000.0,107119000000.0,26097000000.0,12.09,46166000000.0
JPMORGAN CHASE & CO,SEC filer (JPM),FY2023,2023,158104000000.0,61612000000.0,49552000000.0,624151000000.0,3875393000000.0,327878000000.0,12974000000.0,81321000000.0,16.23,61612000000.0
JPMORGAN CHASE & CO,SEC filer (JPM),FY2024,2024,177556000000.0,75081000000.0,58471000000.0,469317000000.0,4002814000000.0,344758000000.0,-42012000000.0,,19.75,75081000000.0
JPMORGAN CHASE & CO,SEC filer (JPM),FY2025,2025,182447000000.0,72595000000.0,57048000000.0,343338000000.0,4424900000000.0,362438000000.0,-147782000000.0,,20.02,72595000000.0
